country_name,iso3,year,debt_usd
USA,USA,2023,828644831049
USA,USA,2024,882797895019
CHN,CHN,2023,249683524879
CHN,CHN,2024,1595164180211
IND,IND,2023,1313433863732
IND,IND,2024,373883647501
BRA,BRA,2023,297729101346
BRA,BRA,2024,1505652202057
DEU,DEU,2023,498780604209
DEU,DEU,2024,250968860781
JPN,JPN,2023,852735300359
JPN,JPN,2024,698378361819
GBR,GBR,2023,1339615189364
GBR,GBR,2024,1891387030634
FRA,FRA,2023,1348882552114
FRA,FRA,2024,1383965138697
ZAF,ZAF,2023,691672368353
ZAF,ZAF,2024,1427580659790
CAN,CAN,2023,1206399184479
CAN,CAN,2024,481516909530
