country_name,iso3,year,debt_usd
USA,USA,2023,387774429791
USA,USA,2024,186450871833
CHN,CHN,2023,199405001347
CHN,CHN,2024,168028070200
IND,IND,2023,358590939685
IND,IND,2024,83504773659
BRA,BRA,2023,432897300454
BRA,BRA,2024,217629654128
DEU,DEU,2023,431136733131
DEU,DEU,2024,389418788510
JPN,JPN,2023,68511812772
JPN,JPN,2024,498179341412
GBR,GBR,2023,140286817048
GBR,GBR,2024,388380169584
FRA,FRA,2023,232522780467
FRA,FRA,2024,139714511453
ZAF,ZAF,2023,309533503336
ZAF,ZAF,2024,87242550483
CAN,CAN,2023,122076047561
CAN,CAN,2024,479596949829
